Gap_ID,Gap_Type,Start,End,Duration_Seconds,Previous_Segment_ID,Next_Segment_ID,Machine_Disposition,Human_Classification,Reviewer_A,Reviewer_B,Adjudication,Review_Status
G-0001,Lead,00:00:00.000,00:00:01.060,1.060,,S-0001,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0024,Internal,00:04:54.760,00:04:55.280,0.520,S-0039,S-0040,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0025,Internal,00:04:57.880,00:04:57.960,0.080,S-0040,S-0041,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0026,Internal,00:05:00.840,00:05:00.940,0.100,S-0041,S-0042,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0027,Internal,00:05:03.120,00:05:03.140,0.020,S-0042,S-0043,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0028,Internal,00:05:07.320,00:05:07.720,0.400,S-0043,S-0044,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0029,Internal,00:05:19.800,00:05:19.860,0.060,S-0046,S-0047,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0030,Internal,00:05:22.080,00:05:22.380,0.300,S-0047,S-0048,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0031,Internal,00:05:25.700,00:05:25.780,0.080,S-0048,S-0049,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0032,Internal,00:05:27.220,00:05:27.540,0.320,S-0049,S-0050,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0033,Internal,00:05:31.040,00:05:31.400,0.360,S-0050,S-0051,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0034,Internal,00:05:34.640,00:05:35.020,0.380,S-0051,S-0052,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0035,Internal,00:05:46.660,00:05:46.900,0.240,S-0054,S-0055,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0036,Internal,00:05:49.040,00:05:49.320,0.280,S-0055,S-0056,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0037,Internal,00:05:56.340,00:05:56.740,0.400,S-0056,S-0057,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0038,Internal,00:06:02.030,00:06:02.330,0.300,S-0057,S-0058,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0039,Internal,00:06:06.610,00:06:06.770,0.160,S-0059,S-0060,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0040,Internal,00:06:08.010,00:06:08.250,0.240,S-0060,S-0061,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0041,Internal,00:06:10.450,00:06:10.750,0.300,S-0061,S-0062,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0042,Internal,00:06:13.020,00:06:13.100,0.080,S-0063,S-0064,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0043,Internal,00:06:16.080,00:06:17.440,1.360,S-0064,S-0065,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0044,Internal,00:06:20.700,00:06:20.900,0.200,S-0066,S-0067,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0045,Internal,00:06:23.640,00:06:23.740,0.100,S-0067,S-0068,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0046,Internal,00:06:29.240,00:06:29.360,0.120,S-0071,S-0072,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0047,Internal,00:06:34.060,00:06:34.480,0.420,S-0073,S-0074,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0048,Internal,00:06:36.840,00:06:38.460,1.620,S-0074,S-0075,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0049,Internal,00:06:40.060,00:06:40.200,0.140,S-0075,S-0076,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0050,Internal,00:06:41.620,00:06:41.900,0.280,S-0076,S-0077,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0051,Internal,00:06:44.180,00:06:44.620,0.440,S-0077,S-0078,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0052,Internal,00:06:46.300,00:06:46.420,0.120,S-0078,S-0079,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0053,Internal,00:06:49.140,00:06:49.800,0.660,S-0079,S-0080,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0054,Internal,00:06:53.000,00:06:53.080,0.080,S-0081,S-0082,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0055,Internal,00:06:53.900,00:06:54.000,0.100,S-0082,S-0083,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0056,Internal,00:06:54.620,00:06:55.040,0.420,S-0083,S-0084,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0057,Internal,00:06:57.440,00:06:57.680,0.240,S-0084,S-0085,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0058,Internal,00:07:01.340,00:07:01.500,0.160,S-0086,S-0087,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0059,Internal,00:07:04.160,00:07:04.620,0.460,S-0087,S-0088,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0060,Internal,00:07:04.840,00:07:05.180,0.340,S-0088,S-0089,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0061,Internal,00:07:06.840,00:07:06.900,0.060,S-0089,S-0090,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0062,Internal,00:07:08.640,00:07:08.740,0.100,S-0090,S-0091,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0063,Internal,00:07:10.760,00:07:10.980,0.220,S-0091,S-0092,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0064,Internal,00:07:11.980,00:07:12.420,0.440,S-0092,S-0093,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0065,Internal,00:07:14.700,00:07:14.780,0.080,S-0093,S-0094,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0066,Internal,00:07:15.560,00:07:15.640,0.080,S-0094,S-0095,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0067,Internal,00:07:18.720,00:07:19.000,0.280,S-0096,S-0097,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0068,Internal,00:07:19.680,00:07:19.760,0.080,S-0097,S-0098,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0069,Internal,00:07:20.560,00:07:20.680,0.120,S-0098,S-0099,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0070,Internal,00:07:22.040,00:07:23.540,1.500,S-0099,S-0100,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0071,Internal,00:07:25.300,00:07:25.440,0.140,S-0100,S-0101,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0072,Internal,00:07:27.020,00:07:27.340,0.320,S-0101,S-0102,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0073,Internal,00:07:29.480,00:07:30.080,0.600,S-0103,S-0104,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0074,Internal,00:07:30.700,00:07:30.800,0.100,S-0104,S-0105,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0075,Internal,00:07:32.460,00:07:32.680,0.220,S-0105,S-0106,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0076,Internal,00:07:35.620,00:07:36.120,0.500,S-0106,S-0107,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0077,Internal,00:07:38.200,00:07:39.180,0.980,S-0107,S-0108,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0078,Internal,00:07:39.780,00:07:40.020,0.240,S-0108,S-0109,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0079,Internal,00:07:43.220,00:07:43.780,0.560,S-0109,S-0110,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0080,Internal,00:07:45.400,00:07:45.480,0.080,S-0111,S-0112,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0081,Internal,00:07:46.640,00:07:46.900,0.260,S-0112,S-0113,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0082,Internal,00:07:48.920,00:07:48.980,0.060,S-0113,S-0114,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0083,Internal,00:07:50.720,00:07:51.660,0.940,S-0114,S-0115,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0084,Internal,00:07:55.940,00:07:56.080,0.140,S-0116,S-0117,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0085,Internal,00:07:57.880,00:07:57.920,0.040,S-0117,S-0118,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0086,Internal,00:07:59.400,00:07:59.700,0.300,S-0118,S-0119,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0087,Internal,00:08:02.100,00:08:02.560,0.460,S-0119,S-0120,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0088,Internal,00:08:03.460,00:08:03.680,0.220,S-0120,S-0121,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0089,Internal,00:08:05.240,00:08:05.580,0.340,S-0121,S-0122,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0090,Internal,00:08:11.640,00:08:12.000,0.360,S-0123,S-0124,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0091,Internal,00:08:13.800,00:08:14.780,0.980,S-0124,S-0125,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0092,Internal,00:08:19.610,00:08:21.690,2.080,S-0126,S-0127,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0093,Internal,00:08:26.670,00:08:27.110,0.440,S-0128,S-0129,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0094,Internal,00:08:28.430,00:08:28.530,0.100,S-0129,S-0130,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0095,Internal,00:08:29.410,00:08:29.970,0.560,S-0130,S-0131,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0096,Internal,00:08:30.950,00:08:31.030,0.080,S-0131,S-0132,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0097,Internal,00:08:31.570,00:08:31.790,0.220,S-0132,S-0133,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0098,Internal,00:08:34.170,00:08:34.990,0.820,S-0133,S-0134,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0099,Internal,00:08:36.030,00:08:36.130,0.100,S-0134,S-0135,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0100,Internal,00:08:36.730,00:08:37.650,0.920,S-0135,S-0136,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0101,Internal,00:08:39.670,00:08:39.930,0.260,S-0136,S-0137,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0102,Internal,00:08:41.110,00:08:41.210,0.100,S-0137,S-0138,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0103,Internal,00:08:41.630,00:08:41.670,0.040,S-0138,S-0139,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0104,Internal,00:08:49.650,00:08:49.990,0.340,S-0140,S-0141,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0105,Internal,00:08:51.530,00:08:51.610,0.080,S-0141,S-0142,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0106,Internal,00:08:52.110,00:08:52.410,0.300,S-0142,S-0143,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0107,Internal,00:08:53.950,00:08:54.030,0.080,S-0143,S-0144,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0108,Internal,00:08:56.090,00:08:56.230,0.140,S-0144,S-0145,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0109,Internal,00:08:57.050,00:08:57.090,0.040,S-0145,S-0146,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0110,Internal,00:08:58.750,00:08:59.530,0.780,S-0146,S-0147,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0111,Internal,00:09:00.050,00:09:00.110,0.060,S-0147,S-0148,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0112,Internal,00:09:01.870,00:09:02.090,0.220,S-0148,S-0149,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0113,Internal,00:09:03.090,00:09:03.690,0.600,S-0149,S-0150,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0114,Internal,00:09:04.350,00:09:04.450,0.100,S-0150,S-0151,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0115,Internal,00:09:06.510,00:09:07.870,1.360,S-0151,S-0152,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0116,Internal,00:09:10.750,00:09:11.630,0.880,S-0152,S-0153,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0117,Internal,00:09:11.870,00:09:12.870,1.000,S-0153,S-0154,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0118,Internal,00:09:17.370,00:09:17.690,0.320,S-0156,S-0157,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0119,Internal,00:09:18.570,00:09:18.870,0.300,S-0157,S-0158,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0120,Internal,00:09:20.770,00:09:20.870,0.100,S-0158,S-0159,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0121,Internal,00:09:22.580,00:09:22.640,0.060,S-0159,S-0160,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0122,Internal,00:09:22.820,00:09:23.800,0.980,S-0160,S-0161,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0123,Internal,00:09:25.020,00:09:25.180,0.160,S-0161,S-0162,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0124,Internal,00:09:27.140,00:09:27.220,0.080,S-0162,S-0163,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0125,Internal,00:09:28.920,00:09:29.020,0.100,S-0163,S-0164,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0126,Internal,00:09:29.480,00:09:30.000,0.520,S-0164,S-0165,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0127,Internal,00:09:30.480,00:09:31.040,0.560,S-0165,S-0166,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0128,Internal,00:09:31.840,00:09:31.860,0.020,S-0166,S-0167,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0129,Internal,00:09:32.040,00:09:32.160,0.120,S-0167,S-0168,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0130,Internal,00:09:33.280,00:09:33.680,0.400,S-0168,S-0169,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0131,Internal,00:09:35.960,00:09:36.400,0.440,S-0169,S-0170,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0132,Internal,00:09:37.060,00:09:37.720,0.660,S-0170,S-0171,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0133,Internal,00:09:39.240,00:09:39.640,0.400,S-0171,S-0172,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0134,Internal,00:09:41.360,00:09:41.640,0.280,S-0172,S-0173,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0135,Internal,00:09:46.780,00:09:46.860,0.080,S-0174,S-0175,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0136,Internal,00:09:47.560,00:09:48.450,0.890,S-0175,S-0176,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0137,Internal,00:09:51.290,00:09:51.330,0.040,S-0176,S-0177,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0138,Internal,00:09:52.470,00:09:52.530,0.060,S-0177,S-0178,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0139,Internal,00:09:55.170,00:09:55.550,0.380,S-0178,S-0179,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0140,Internal,00:09:57.530,00:09:57.810,0.280,S-0179,S-0180,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0141,Internal,00:10:01.770,00:10:01.850,0.080,S-0181,S-0182,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0142,Internal,00:10:03.250,00:10:03.650,0.400,S-0182,S-0183,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0143,Internal,00:10:04.930,00:10:05.030,0.100,S-0183,S-0184,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0144,Internal,00:10:08.330,00:10:08.690,0.360,S-0184,S-0185,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0145,Internal,00:10:10.550,00:10:10.990,0.440,S-0185,S-0186,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0146,Internal,00:10:15.210,00:10:15.310,0.100,S-0186,S-0187,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0147,Internal,00:10:17.030,00:10:17.370,0.340,S-0187,S-0188,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0148,Internal,00:10:18.630,00:10:18.870,0.240,S-0188,S-0189,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0149,Internal,00:10:21.630,00:10:23.040,1.410,S-0189,S-0190,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0150,Internal,00:10:25.140,00:10:26.250,1.110,S-0192,S-0193,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0151,Internal,00:10:27.050,00:10:27.950,0.900,S-0193,S-0194,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0152,Internal,00:10:30.690,00:10:30.830,0.140,S-0195,S-0196,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0153,Internal,00:10:37.990,00:10:38.030,0.040,S-0196,S-0197,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0154,Internal,00:10:39.610,00:10:40.450,0.840,S-0197,S-0198,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0155,Internal,00:10:42.470,00:10:43.070,0.600,S-0198,S-0199,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0156,Internal,00:10:45.070,00:10:45.670,0.600,S-0199,S-0200,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0157,Internal,00:10:49.110,00:10:49.230,0.120,S-0200,S-0201,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0158,Internal,00:10:52.450,00:10:52.630,0.180,S-0201,S-0202,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0159,Internal,00:10:54.760,00:10:56.060,1.300,S-0203,S-0204,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0160,Internal,00:11:01.160,00:11:01.260,0.100,S-0205,S-0206,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0161,Internal,00:11:06.180,00:11:06.680,0.500,S-0206,S-0207,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0162,Internal,00:11:11.680,00:11:11.980,0.300,S-0207,S-0208,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0163,Internal,00:11:22.580,00:11:24.120,1.540,S-0209,S-0210,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0164,Internal,00:11:26.460,00:11:29.150,2.690,S-0210,S-0211,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0165,Internal,00:11:33.170,00:11:33.590,0.420,S-0211,S-0212,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0166,Internal,00:11:36.550,00:11:36.650,0.100,S-0212,S-0213,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0167,Internal,00:11:42.390,00:11:42.870,0.480,S-0214,S-0215,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0168,Internal,00:11:45.770,00:11:46.090,0.320,S-0215,S-0216,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0169,Internal,00:11:48.010,00:11:48.290,0.280,S-0216,S-0217,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0170,Internal,00:11:52.470,00:11:53.370,0.900,S-0217,S-0218,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0171,Internal,00:11:57.630,00:11:57.970,0.340,S-0218,S-0219,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0172,Internal,00:12:07.650,00:12:08.010,0.360,S-0221,S-0222,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0173,Internal,00:12:13.470,00:12:13.710,0.240,S-0222,S-0223,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0174,Internal,00:12:15.170,00:12:15.610,0.440,S-0223,S-0224,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0175,Internal,00:12:20.770,00:12:20.850,0.080,S-0224,S-0225,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0176,Internal,00:12:30.790,00:12:30.850,0.060,S-0226,S-0227,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0177,Internal,00:12:33.430,00:12:33.750,0.320,S-0227,S-0228,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0178,Internal,00:12:35.990,00:12:36.570,0.580,S-0228,S-0229,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0179,Internal,00:12:38.630,00:12:38.730,0.100,S-0229,S-0230,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0180,Internal,00:12:42.890,00:12:43.190,0.300,S-0230,S-0231,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0181,Internal,00:12:45.610,00:12:45.930,0.320,S-0231,S-0232,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0182,Internal,00:12:48.930,00:12:49.130,0.200,S-0232,S-0233,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0183,Internal,00:12:50.450,00:12:50.530,0.080,S-0233,S-0234,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
