Segment_ID,Start,End,Speaker,Speaker_Confidence,Speaker_Basis,Machine_HE,Reviewed_HE,Machine_EN,Reviewed_EN,Content_Class,Preliminary_Disposition,Control_IDs,External_Claim_IDs,Reviewer_A,Reviewer_B,Disagreement,Adjudication,Review_Status,Evidence_Link
S-0019,00:03:07.600,00:03:13.680,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"עכשיו צריך לזכור ש... אני תכף איתן לך לשאול על החלקים האלה,",,"Now we need to remember that... I will ask you about these parts shortly,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0019
S-0020,00:03:13.780,00:03:18.560,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אבל צריך לזכור שאת ההצעה בעצם זה לא רק אנחנו נותנים את זה,",,"but we need to remember that in essence this proposal is not just that we are giving it,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0020
S-0021,00:03:18.640,00:03:22.260,Unresolved,Unknown,No automatic diarization; human audiovisual review required,אלא גם אתה נבחן על זה.,,but also that you will be tested on it.,,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0021
S-0022,00:03:22.260,00:03:28.840,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"זאת אומרת, יש אנשים, נראה לי שאני אבקש את ארנון להיות אחד הבוחנים כבר,",,"This means, I think I will ask Arnon to be one of the examiners already,",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0022
S-0023,00:03:29.580,00:03:34.260,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אבל יהיו, אני חושבת שזה שניים, אבל צריך לבדוק את זה עוד פעם,",,"but there will be, I believe it will be two, but we need to check this again,",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0023
S-0024,00:03:34.260,00:03:39.280,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אנשים שבהם בעצם הם יקבלו את ההצעה שלך,",,"people who actually will receive your proposal,",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0024
S-0025,00:03:39.820,00:03:45.820,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ויבואו ויפגשו אותך, וישאלו שתי שאלות מרכזיות.",,"and come and meet with you, and ask two central questions.",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0025
S-0026,00:03:45.820,00:03:51.420,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"בעצם כל מבחינת מועמדות כזאת, יש לבד שתי שאלות מרכזיות.",,"Essentially for any application, there are only two central questions.",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0026
S-0027,00:03:51.920,00:03:56.460,Unresolved,Unknown,No automatic diarization; human audiovisual review required,האם העבודה או הנושא הוא מספיק לדוקטורט?,,Is the work or topic sufficient for a doctoral degree?,,Requirement,Control-linked,R-04; A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0027
S-0028,00:03:56.820,00:04:01.200,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"זאת אומרת, הוא גם בהיקף שלו, גם מבחינת החדשנות שלו,",,"That is, also in terms of its scope, as well as its originality,",,Requirement,Control-linked,R-04; A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0028
S-0029,00:04:01.200,00:04:05.780,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"או גם מבחינת מה שיש בה בספרות, אז זה שאלה אחת.",,"or what exists in the literature, so this is one question.",,Requirement,Control-linked,R-04; A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0029
S-0030,00:04:06.400,00:04:11.650,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"והשאלה שנייה, האם המועמד מסוגל לעשות את זה?",,"And the second question, is the applicant capable of doing it?",,Requirement,Control-linked,R-04; A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0030
S-0031,00:04:11.990,00:04:15.750,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"בפרק הזמן, עם היכולות שלו, עם הסכיל שלו,",,"Within the time frame, with his abilities, with his skills,",,Requirement,Control-linked,R-04; A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0031
S-0032,00:04:15.850,00:04:19.910,Unresolved,Unknown,No automatic diarization; human audiovisual review required,אולי כדאי לתת לו איזשהו קורס שהוא ישלים את הדברים האלה.,,maybe we should give him some course to complete these things.,,Requirement,Control-linked,R-04; A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0032
S-0033,00:04:20.390,00:04:24.570,Unresolved,Unknown,No automatic diarization; human audiovisual review required,זה בעצם שתי המטרות של בחינת מועמדות.,,This is essentially the two goals of evaluating an application.,,Requirement,Control-linked,R-04; A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0033
S-0034,00:04:24.570,00:04:30.980,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"איך קובעים את המועמדות? מבחינת, כאילו אני ניגש אליכם, אני...",,How do we evaluate applications? From the perspective that I approach you...,,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0034
S-0035,00:04:30.980,00:04:38.020,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"לא, מבחינת, רגע, אתה צריך להגיש עד תחילת שנת הלימודים את הבחינה.",,"No, from the perspective that, hold on, you need to submit the evaluation before the start of your studies.",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0035
S-0036,00:04:38.700,00:04:43.180,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ממה שאני הבנתי גם מהסטודנטים, אבל גם מסיגל,",,"As I understand it, both from the students and also from Sigal.",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0036
S-0037,00:04:43.620,00:04:46.620,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"במהלך סמסטר א', אתה צריך שיהיה לך בחינת מועמדות.",,"During the first semester, you need to have a candidacy exam.",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0037
S-0038,00:04:46.620,00:04:50.240,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"בדרך כלל, ברגע שאתה נותן את ההצעה הזאת,",,"Generally, as soon as you submit this proposal,",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0038
S-0039,00:04:50.360,00:04:54.760,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"קודם כל, מבקשים ממני שמות של אנשים שיכולים להיות.",,"First, they ask for names of people who might be suitable.",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0039
S-0040,00:04:55.280,00:04:57.880,Unresolved,Unknown,No automatic diarization; human audiovisual review required,פונים לאנשים האלה לראו אם הם מסכימים.,,They approach these people to see if they agree.,,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0040
S-0041,00:04:57.960,00:05:00.840,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אם הם מסכימים, שולחים להם את העבודה,",,"If they agree, they send them the work,",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0041
S-0042,00:05:00.940,00:05:03.120,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ונותנים להם סדר גודל של חודש, חודש וחצי,",,"and give them a timeframe of about one to one and a half months,",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0042
S-0043,00:05:03.140,00:05:07.320,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"לקרוא את העבודה, לתאם את הפגישה, ואז נפגשים.",,"to read the work, schedule the meeting, then we meet.",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0043
S-0044,00:05:07.720,00:05:10.600,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"הפגישה הזאת, היא לא צריכה להיות ארוכה מאוד,",,"This meeting doesn't need to be very long,",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0044
S-0045,00:05:10.600,00:05:14.660,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"היא בדרך כלל מוקצועות לה שעתיים, הרבה פעמים זה הרבה פחות.",,"it is usually scheduled for two hours, often much less.",,Action,Control-linked,A-14; Q-08,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0045
S-0046,00:05:14.660,00:05:19.800,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ולפגישה הזאת, בעצם אתה אמור להכין איזושהי מצגת,",,"For this meeting, you should prepare some kind of presentation,",,Requirement,Control-linked,R-05,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0046
S-0047,00:05:19.860,00:05:22.080,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אנחנו נדבר על זה כמובן על הפרטים וכל הדברים,",,"Of course, we will discuss the details and everything else,",,Requirement,Control-linked,R-05,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0047
S-0048,00:05:22.380,00:05:25.700,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אבל איזושהי מצגת קצרה, כי אתה לא צריך לספר להם מה עשית,",,"but a short presentation, because you don't need to tell them what you did,",,Requirement,Control-linked,R-05,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0048
S-0049,00:05:25.780,00:05:27.220,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"הם קראו הרי את מה שעשית,",,"they have already read what you did,",,Requirement,Control-linked,R-05,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0049
S-0050,00:05:27.540,00:05:31.040,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אבל איזושהי מצגת קצרה שבעצם מכניסה אותנו לתוך העניינים,",,"but a short presentation that actually gets us into the issues,",,Requirement,Control-linked,R-05,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0050
S-0051,00:05:31.400,00:05:34.640,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אולי גם מספרת מה התקדמת מאז שהגשת את הדברים האלה,",,"maybe also mentioning how things have progressed since you submitted these,",,Requirement,Control-linked,R-05,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0051
S-0052,00:05:35.020,00:05:37.940,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"דברים מהסוג הזה, ואז הם באים עם שאלות,",,"things like this, then they come with questions,",,Requirement,Control-linked,R-05,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0052
S-0053,00:05:37.940,00:05:43.660,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"עם שאלות על הנושא, על הרחבת הדעת,",,"questions on the topic, on expanding knowledge.",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0053
S-0054,00:05:43.660,00:05:46.660,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"האם כדאי להוסיף דברים, האם כדאי לשנות דברים,",,"Should we add things, should we change things,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0054
S-0055,00:05:46.900,00:05:49.040,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"האם משאול אותך את הדברים,",,"Are you asking me about these things,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0055
S-0056,00:05:49.320,00:05:56.340,Unresolved,Unknown,No automatic diarization; human audiovisual review required,ובסופו של דבר בעצם יש מספר תוצאות לפגישה הזאת.,,"And in the end, basically, there are a few outcomes from this meeting.",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0056
S-0057,00:05:56.740,00:06:02.030,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אפשרות אחת זה שזה לא הולך, המועמד לא מתאים,",,"One option is that it won't happen, the candidate isn't suitable,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0057
S-0058,00:06:02.330,00:06:05.630,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"לא קרה לי אף פעם, אבל זה אחת האופציות שיכולות...",,"It hasn't happened to me, but it's one of the options that could...",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0058
S-0059,00:06:05.630,00:06:06.610,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"לא יקרה, לא יקרה.",,"It won't happen, it won't happen.",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0059
S-0060,00:06:06.770,00:06:08.010,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"כנראה גם לא יקרה,",,"Probably also won't happen,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0060
S-0061,00:06:08.250,00:06:10.450,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"כנראה גם לא יקרה מכיוון שאנחנו עובדים על זה,",,"Probably also won't happen because we're working on it,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0061
S-0062,00:06:10.750,00:06:11.470,Unresolved,Unknown,No automatic diarization; human audiovisual review required,וזה...,,And this...,,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0062
S-0063,00:06:11.470,00:06:13.020,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"פעם היחידה, אתה זוכר,",,"The only time, you remember,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0063
S-0064,00:06:13.100,00:06:16.080,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ששומענו על זה שהיה שותף שלנו כשלמדנו,",,"When we heard about our colleague who failed when we learned,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0064
S-0065,00:06:17.440,00:06:18.700,Unresolved,Unknown,No automatic diarization; human audiovisual review required,זה...,,This...,,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0065
S-0066,00:06:18.700,00:06:20.700,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"כשמישהו בא,",,"When someone comes in,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0066
S-0067,00:06:20.900,00:06:23.640,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"מכריח את המנחה שלו להגיש את זה,",,"They force their mentor to submit it,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0067
S-0068,00:06:23.740,00:06:25.340,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"וגם המנחה לא מאמין בעבודה,",,"And the mentor doesn't believe in the work either,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0068
S-0069,00:06:25.340,00:06:27.200,Unresolved,Unknown,No automatic diarization; human audiovisual review required,זה הדבר...,,This is the thing...,,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0069
S-0070,00:06:27.200,00:06:27.840,Unresolved,Unknown,No automatic diarization; human audiovisual review required,זה לא יקרה בעבודה.,,It won't happen at work.,,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0070
S-0071,00:06:27.840,00:06:29.240,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"כן, זה לא אמור להיות מפתיעה.",,"Yes, this shouldn't be surprising.",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0071
S-0072,00:06:29.360,00:06:30.720,Unresolved,Unknown,No automatic diarization; human audiovisual review required,זה לא אמור לקרות.,,This is not supposed to happen.,,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0072
S-0073,00:06:30.720,00:06:34.060,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"השתי האופציות שכן יכולות לקרות,",,"The two options that could occur,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0073
S-0074,00:06:34.480,00:06:36.840,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"זה אפשרות אחת,",,"this is one option,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0074
S-0075,00:06:38.460,00:06:40.060,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"בעצם יש שלוש אופציות,",,"in fact, there are three options,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0075
S-0076,00:06:40.200,00:06:41.620,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"אבל שתיים רווחות,",,"but two of them are profitable,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0076
S-0077,00:06:41.900,00:06:44.180,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"זה אפשרות אחת שזה עובר ככה כמו שזה,",,"this is an option that happens just like that,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0077
